Algorithm,Level,Events,Uncompressed,Compressed,Time,Filename,Iteration
ZLIB,4,1000,12457299231,5093525237,844.6042602062225,step4_ZLIB4_1000.root,3
ZLIB,4,1000,12457289353,5093539515,846.6251380443573,step4_ZLIB4_1000.root,4
ZLIB,4,1000,12457279236,5093524343,846.8686571121216,step4_ZLIB4_1000.root,5
ZLIB,4,1000,12457287683,5093633928,849.6940913200378,step4_ZLIB4_1000.root,6
ZLIB,4,1000,12457333531,5093702053,845.3663611412048,step4_ZLIB4_1000.root,7
ZLIB,4,1000,12457294966,5093616868,851.098313331604,step4_ZLIB4_1000.root,8
ZLIB,4,1000,12457301485,5093478544,850.5594930648804,step4_ZLIB4_1000.root,9
ZLIB,5,1000,12457334942,5023533944,854.6755607128143,step4_ZLIB5_1000.root,0
ZLIB,5,1000,12457281371,5023457735,852.6875114440918,step4_ZLIB5_1000.root,1
ZLIB,5,1000,12457294310,5023431012,849.2500712871552,step4_ZLIB5_1000.root,2
ZLIB,5,1000,12457293141,5023543785,855.2825202941895,step4_ZLIB5_1000.root,3
ZLIB,5,1000,12457274080,5023360684,852.8002378940582,step4_ZLIB5_1000.root,4
ZLIB,5,1000,12457298201,5023424030,851.2282664775848,step4_ZLIB5_1000.root,5
ZLIB,5,1000,12457280839,5023363943,858.3283882141113,step4_ZLIB5_1000.root,6
ZLIB,5,1000,12457298598,5023572195,851.7638142108917,step4_ZLIB5_1000.root,7
ZLIB,5,1000,12457288989,5023411990,851.7911138534546,step4_ZLIB5_1000.root,8
ZLIB,5,1000,12457277657,5023291272,852.3568646907806,step4_ZLIB5_1000.root,9
ZLIB,6,1000,12457286519,4963360987,874.4808957576752,step4_ZLIB6_1000.root,0
ZLIB,6,1000,12457307923,4963393923,872.1026434898376,step4_ZLIB6_1000.root,1
ZLIB,6,1000,12457295716,4963340295,875.2601742744446,step4_ZLIB6_1000.root,2
ZLIB,6,1000,12457293063,4963359695,873.6035196781158,step4_ZLIB6_1000.root,3
ZLIB,6,1000,12457310256,4963401636,874.1023190021515,step4_ZLIB6_1000.root,4
ZLIB,6,1000,12457314482,4963341751,878.5915689468384,step4_ZLIB6_1000.root,5
ZLIB,6,1000,12457322918,4963403271,874.2258734703064,step4_ZLIB6_1000.root,6
ZLIB,6,1000,12457293226,4963336693,875.6582934856415,step4_ZLIB6_1000.root,7
ZLIB,6,1000,12457305239,4963439502,874.5139725208282,step4_ZLIB6_1000.root,8
ZLIB,6,1000,12457327006,4963373011,874.134459733963,step4_ZLIB6_1000.root,9
ZLIB,7,1000,12457299148,4941839772,891.937616109848,step4_ZLIB7_1000.root,0
ZLIB,7,1000,12457280379,4941880697,891.3265106678009,step4_ZLIB7_1000.root,1
ZLIB,7,1000,12457327113,4941902392,892.1875603199005,step4_ZLIB7_1000.root,2
ZLIB,7,1000,12457303358,4941869983,891.305326461792,step4_ZLIB7_1000.root,3
ZLIB,7,1000,12457298087,4941931682,890.7552936077118,step4_ZLIB7_1000.root,4
ZLIB,7,1000,12457284102,4941928012,891.7364792823792,step4_ZLIB7_1000.root,5
ZLIB,7,1000,12457282800,4942064455,893.8976392745972,step4_ZLIB7_1000.root,6
ZLIB,7,1000,12457318406,4941944396,893.0000069141388,step4_ZLIB7_1000.root,7
ZLIB,7,1000,12457304115,4942058245,893.1172649860382,step4_ZLIB7_1000.root,8
ZLIB,7,1000,12457302408,4942177955,892.257838010788,step4_ZLIB7_1000.root,9
ZLIB,8,1000,12457300726,4904427071,963.0482985973358,step4_ZLIB8_1000.root,0
ZLIB,8,1000,12457320518,4904246939,965.1809985637665,step4_ZLIB8_1000.root,1
ZLIB,8,1000,12457283667,4904444924,967.880362033844,step4_ZLIB8_1000.root,2
ZLIB,8,1000,12457292143,4904399857,966.7147262096405,step4_ZLIB8_1000.root,3
ZLIB,8,1000,12457295556,4904295873,965.7273156642914,step4_ZLIB8_1000.root,4
ZLIB,8,1000,12457267183,4904288968,964.6710143089294,step4_ZLIB8_1000.root,5
ZLIB,8,1000,12457277412,4904425300,964.5207221508026,step4_ZLIB8_1000.root,6
ZLIB,8,1000,12457301064,4904422338,960.5796096324921,step4_ZLIB8_1000.root,7
ZLIB,8,1000,12457329204,4904425004,966.223845243454,step4_ZLIB8_1000.root,8
ZLIB,8,1000,12457301712,4904204888,966.5803689956665,step4_ZLIB8_1000.root,9
ZLIB,9,1000,12457278716,4885326721,1170.6042289733887,step4_ZLIB9_1000.root,0
ZLIB,9,1000,12457252247,4885416531,1174.8032023906708,step4_ZLIB9_1000.root,1
ZLIB,9,1000,12457254772,4885399094,1174.5331757068634,step4_ZLIB9_1000.root,2
ZLIB,9,1000,12457290526,4885447713,1175.2364630699158,step4_ZLIB9_1000.root,3
ZLIB,9,1000,12457269606,4885461268,1179.2457067966461,step4_ZLIB9_1000.root,4
ZLIB,9,1000,12457273993,4885592416,1174.1846575737,step4_ZLIB9_1000.root,5
ZLIB,9,1000,12457260140,4885371234,1173.2416589260101,step4_ZLIB9_1000.root,6
ZLIB,9,1000,12457279408,4885450638,1173.5948448181152,step4_ZLIB9_1000.root,7
ZLIB,9,1000,12457275295,4885341977,1177.4625856876373,step4_ZLIB9_1000.root,8
ZLIB,9,1000,12457284330,4885427023,1171.2106761932373,step4_ZLIB9_1000.root,9
LZ4,0,1000,12947624514,12947583066,830.2910943031311,step4_LZ40_1000.root,0
LZ4,0,1000,12947715199,12947673751,833.7003977298737,step4_LZ40_1000.root,1
LZ4,0,1000,12947500935,12947459487,829.2220072746277,step4_LZ40_1000.root,2
LZ4,0,1000,12947708307,12947666859,829.3236286640167,step4_LZ40_1000.root,3
LZ4,0,1000,12947722437,12947680989,827.1826565265656,step4_LZ40_1000.root,4
LZ4,0,1000,12947592244,12947550796,826.0713460445404,step4_LZ40_1000.root,5
LZ4,0,1000,12947449098,12947407650,834.101654291153,step4_LZ40_1000.root,6
LZ4,0,1000,12947609328,12947567880,831.4333038330078,step4_LZ40_1000.root,7
LZ4,0,1000,12947574812,12947533364,824.7618868350983,step4_LZ40_1000.root,8
LZ4,0,1000,12947596715,12947555267,827.4393050670624,step4_LZ40_1000.root,9
LZ4,1,1000,12539324267,6416314679,825.2570159435272,step4_LZ41_1000.root,0
LZ4,1,1000,12539306494,6416188709,829.6276423931122,step4_LZ41_1000.root,1
LZ4,1,1000,12539304297,6416361378,829.2873017787933,step4_LZ41_1000.root,2
LZ4,1,1000,12538735012,6415041380,828.9563817977905,step4_LZ41_1000.root,3
LZ4,1,1000,12539279453,6416319923,828.4356341362,step4_LZ41_1000.root,4
LZ4,1,1000,12538715733,6414912423,823.8855772018433,step4_LZ41_1000.root,5
LZ4,1,1000,12539265149,6416130591,828.1714427471161,step4_LZ41_1000.root,6
LZ4,1,1000,12539316558,6416116650,827.3605494499207,step4_LZ41_1000.root,7
LZ4,1,1000,12538606308,6415041778,824.9268538951874,step4_LZ41_1000.root,8
LZ4,1,1000,12539320740,6416246589,831.4573607444763,step4_LZ41_1000.root,9
LZ4,2,1000,12539297053,6416282349,827.0355136394501,step4_LZ42_1000.root,0
LZ4,2,1000,12539296250,6416170136,825.2353465557098,step4_LZ42_1000.root,1
LZ4,2,1000,12539318418,6416425782,825.8714883327484,step4_LZ42_1000.root,2
LZ4,2,1000,12538725300,6415060848,830.1060705184937,step4_LZ42_1000.root,3
LZ4,2,1000,12539325063,6416404214,827.1741981506348,step4_LZ42_1000.root,4
LZ4,2,1000,12538719335,6415171357,826.5558199882507,step4_LZ42_1000.root,5
LZ4,2,1000,12539308461,6416216554,828.3915741443634,step4_LZ42_1000.root,6
LZ4,2,1000,12539294797,6416246790,823.989146232605,step4_LZ42_1000.root,7
LZ4,2,1000,12539259434,6416158812,825.4605083465576,step4_LZ42_1000.root,8
LZ4,2,1000,12539306043,6416093541,823.9651699066162,step4_LZ42_1000.root,9
LZ4,3,1000,12539289014,6416189859,826.2482643127441,step4_LZ43_1000.root,0
LZ4,3,1000,12539261556,6416134598,824.8672089576721,step4_LZ43_1000.root,1
LZ4,3,1000,12539322591,6416148973,825.9985585212708,step4_LZ43_1000.root,2
LZ4,3,1000,12539274925,6416275676,830.7902755737305,step4_LZ43_1000.root,3
LZ4,3,1000,12539300211,6416324371,828.2317082881927,step4_LZ43_1000.root,4
LZ4,3,1000,12539298787,6416202071,829.4569289684296,step4_LZ43_1000.root,5
LZ4,3,1000,12539288596,6416103878,827.2308003902435,step4_LZ43_1000.root,6
LZ4,3,1000,12538722937,6414969391,831.6743476390839,step4_LZ43_1000.root,7
LZ4,3,1000,12539288741,6416413739,825.0167474746704,step4_LZ43_1000.root,8
LZ4,3,1000,12539313828,6416228332,829.6211905479431,step4_LZ43_1000.root,9
LZ4,4,1000,12539286426,5764499265,846.4873652458191,step4_LZ44_1000.root,0
LZ4,4,1000,12539322488,5764773115,837.246000289917,step4_LZ44_1000.root,1
LZ4,4,1000,12539305233,5764729029,838.9541707038879,step4_LZ44_1000.root,2
LZ4,4,1000,12539316556,5764762340,842.1316525936127,step4_LZ44_1000.root,3
LZ4,4,1000,12539280163,5764535995,839.851893901825,step4_LZ44_1000.root,4
LZ4,4,1000,12539269877,5764481991,838.6349828243256,step4_LZ44_1000.root,5
LZ4,4,1000,12538733464,5763281325,843.1055340766907,step4_LZ44_1000.root,6
LZ4,4,1000,12539310111,5764618628,842.266340970993,step4_LZ44_1000.root,7
LZ4,4,1000,12539315016,5764626204,838.1101536750793,step4_LZ44_1000.root,8
LZ4,4,1000,12539309570,5764562106,838.628758430481,step4_LZ44_1000.root,9
LZ4,5,1000,12539268613,5728797114,843.1190390586853,step4_LZ45_1000.root,0
LZ4,5,1000,12539298327,5728770620,839.2035813331604,step4_LZ45_1000.root,1
LZ4,5,1000,12539300788,5728912518,840.9209485054016,step4_LZ45_1000.root,2
LZ4,5,1000,12539266478,5728965359,844.5780432224274,step4_LZ45_1000.root,3
LZ4,5,1000,12538722846,5727378091,841.6338770389557,step4_LZ45_1000.root,4
